,comment_id,user_id,platform,date_time,likes_count,comment_raw,comment_cleaned_emoji,comment_cleaned_no_emoji,comment_processed,vader_compound_emoji,vader_compound_no_emoji
1397,17875978376179360,2072509862,instagram,2021-02-12 16:57:47,0,"3 GQP senators (Cruz, Graham,  Lee) who are jurors on trial meeting with defence lawyers...unheard of...no longer Impartial, should be barred from trial and from voting","3 GQP senators (Cruz, Graham,  Lee) who are jurors on trial meeting with defence lawyers...unheard of...no longer Impartial, should be barred from trial and from voting","3 GQP senators (Cruz, Graham,  Lee) who are jurors on trial meeting with defence lawyers...unheard of...no longer Impartial, should be barred from trial and from voting","['gqp', 'senators', 'cruz', 'graham', 'lee', 'jurors', 'trial', 'meeting', 'defence', 'lawyers', 'unheard', 'longer', 'impartial', 'barred', 'trial', 'voting']",0.1027,0.1027
1398,18029870248295704,3464473261,instagram,2021-02-11 02:59:36,1,Trump didn't have to send a great lawyer. He won't get convicted regardless of who defends him. And that won't do. Americans can't rest until that monster is imprisoned. 🤓,Trump didn't have to send a great lawyer. He won't get convicted regardless of who defends him. And that won't do. Americans can't rest until that monster is imprisoned. 🤓,Trump didn't have to send a great lawyer. He won't get convicted regardless of who defends him. And that won't do. Americans can't rest until that monster is imprisoned. 🤓,"['send', 'great', 'lawyer', 'wo', 'convicted', 'regardless', 'defends', 'wo', 'americans', 'ca', 'rest', 'monster', 'imprisoned']",-0.0258,-0.0258
1399,17906375323664460,24512487,instagram,2021-02-10 22:49:02,0,That IS his best; it just sucks.,That IS his best; it just sucks.,That IS his best; it just sucks.,"['best', 'sucks']",0.4019,0.4019
1400,17871224045212559,8517570461,instagram,2021-02-10 16:34:37,1,With empty brains and holes .. it’s ok 😂,With empty brains and holes .. it’s ok 😂,With empty brains and holes .. it’s ok ,"['empty', 'brains', 'holes', 'ok']",0.5106,0.1027
1401,17920299424540658,38206985457,instagram,2021-02-10 14:03:48,2,Circus music needed,Circus music needed,Circus music needed,"['circus', 'music', 'needed']",0.0,0.0
1402,17985008098326542,38206985457,instagram,2021-02-10 14:03:02,1,What will he do next,What will he do next,What will he do next,['next'],0.0,0.0
1403,17910701815621392,38206985457,instagram,2021-02-10 14:02:33,1,Looks like a party joke,Looks like a party joke,Looks like a party joke,"['looks', 'like', 'party', 'joke']",0.7506,0.7506
1404,17874694526148974,2229484885,instagram,2021-02-10 13:05:36,1,They don’t have a foot to stand on. None of what they say have merit!!! Sure hope they impeach that orange and move it along!! Trump wasted out resources and time on his bs! Country needs to heal. Having him impeached is a great first step.,They don’t have a foot to stand on. None of what they say have merit!!! Sure hope they impeach that orange and move it along!! Trump wasted out resources and time on his bs! Country needs to heal. Having him impeached is a great first step.,They don’t have a foot to stand on. None of what they say have merit!!! Sure hope they impeach that orange and move it along!! Trump wasted out resources and time on his bs! Country needs to heal. Having him impeached is a great first step.,"['foot', 'stand', 'none', 'say', 'merit', 'sure', 'hope', 'impeach', 'orange', 'move', 'along', 'wasted', 'resources', 'time', 'bs', 'country', 'needs', 'heal', 'impeached', 'great', 'first', 'step']",0.877,0.877
1405,17878333652080562,43100383349,instagram,2021-02-10 12:20:08,1,"Theyre pedophiles, theyre rapists, in some cases we assume theyre probably eating corpses of babies.","Theyre pedophiles, theyre rapists, in some cases we assume theyre probably eating corpses of babies.","Theyre pedophiles, theyre rapists, in some cases we assume theyre probably eating corpses of babies.","['theyre', 'pedophiles', 'theyre', 'rapists', 'cases', 'assume', 'theyre', 'probably', 'eating', 'corpses', 'babies']",-0.6486,-0.6486
1406,17925350464511774,18347602871,instagram,2021-02-10 11:50:10,2,They are quite thirsty indeed🇺🇸,They are quite thirsty indeed🇺🇸,They are quite thirsty indeed,"['quite', 'thirsty']",0.0,0.0
1407,18139591222085006,6058473893,instagram,2021-02-10 11:04:53,1,Maybe it is his best....,Maybe it is his best....,Maybe it is his best....,"['maybe', 'best']",0.6369,0.6369
1408,17920102129546218,33150155626,instagram,2021-02-10 09:02:21,2,"His ""lawyers"" can behave like ignorant buffoons and it won't matter. T**** could be represented by the Three Stooges and the trumpublicans would not vote to convict him. Long ago, those reprobates chose T**** over truth and justice. I wonder whether they can be prosecuted for lying under oath: They did swear to be impartial and reach a verdict based on the facts of the case. And if anyone believes that cowards like Graham, Cruz, Hawley, and the others will be impartial, please contact me. I have some wonderful oceanfront property in Kansas that I'm sure you'll be interested in.","His ""lawyers"" can behave like ignorant buffoons and it won't matter. T**** could be represented by the Three Stooges and the trumpublicans would not vote to convict him. Long ago, those reprobates chose T**** over truth and justice. I wonder whether they can be prosecuted for lying under oath: They did swear to be impartial and reach a verdict based on the facts of the case. And if anyone believes that cowards like Graham, Cruz, Hawley, and the others will be impartial, please contact me. I have some wonderful oceanfront property in Kansas that I'm sure you'll be interested in.","His ""lawyers"" can behave like ignorant buffoons and it won't matter. T**** could be represented by the Three Stooges and the trumpublicans would not vote to convict him. Long ago, those reprobates chose T**** over truth and justice. I wonder whether they can be prosecuted for lying under oath: They did swear to be impartial and reach a verdict based on the facts of the case. And if anyone believes that cowards like Graham, Cruz, Hawley, and the others will be impartial, please contact me. I have some wonderful oceanfront property in Kansas that I'm sure you'll be interested in.","['lawyers', 'behave', 'like', 'ignorant', 'buffoons', 'wo', 'matter', 'could', 'represented', 'three', 'stooges', 'trumpublicans', 'vote', 'convict', 'long', 'ago', 'reprobates', 'chose', 'truth', 'justice', 'wonder', 'whether', 'prosecuted', 'lying', 'oath', 'swear', 'impartial', 'reach', 'verdict', 'based', 'facts', 'case', 'anyone', 'believes', 'cowards', 'like', 'graham', 'cruz', 'hawley', 'others', 'impartial', 'please', 'contact', 'wonderful', 'oceanfront', 'property', 'kansas', 'sure', 'interested']",0.919,0.919
1409,17886553193002199,186572315,instagram,2021-02-10 08:46:52,1,What the hell? Lol,What the hell? Lol,What the hell? Lol,"['hell', 'lol']",-0.4215,-0.4215
1410,17917612606528536,45449212912,instagram,2021-02-10 08:30:28,1,"If he had told us that, everybody would respect it .  He support TRUMP and TRUMP are inspired by Adolf .  That is A mystery 😱","If he had told us that, everybody would respect it .  He support TRUMP and TRUMP are inspired by Adolf .  That is A mystery 😱","If he had told us that, everybody would respect it .  He support TRUMP and TRUMP are inspired by Adolf .  That is A mystery ","['told', 'us', 'everybody', 'respect', 'support', 'inspired', 'adolf', 'mystery']",0.4939,0.8402
1411,18149102698120676,45449212912,instagram,2021-02-10 08:27:21,0,Jewish tradition .  Nobody could know that .  That’s Why nobody listen to his words,Jewish tradition .  Nobody could know that .  That’s Why nobody listen to his words,Jewish tradition .  Nobody could know that .  That’s Why nobody listen to his words,"['jewish', 'tradition', 'nobody', 'could', 'know', 'nobody', 'listen', 'words']",0.0,0.0
1412,17930236216483941,983681735,instagram,2021-02-10 08:13:13,1,"You guys have an unhealthy obsession with Trump, get help","You guys have an unhealthy obsession with Trump, get help","You guys have an unhealthy obsession with Trump, get help","['guys', 'unhealthy', 'obsession', 'help']",-0.4767,-0.4767
