,comment_id,user_id,platform,date_time,likes_count,comment,comment_no_emoji,comment_processed
136,18145929910190478,315855899,instagram,2021-02-11 04:08:40,2,Great post and great responses to comments,Great post and great responses to comments,"['great', 'post', 'great', 'responses', 'comments']"
137,17955798304399079,8149107784,instagram,2021-02-11 03:46:27,7,cmon man. why did you have to bring politics into your posts. :/,cmon man. why did you have to bring politics into your posts. :/,"['cmon', 'man', 'bring', 'politics', 'posts']"
138,18183302458065912,1565720463,instagram,2021-02-11 03:46:19,1,"In Italy we say ""no news means good news""","In Italy we say ""no news means good news""","['italy', 'say', 'news', 'means', 'good', 'news']"
139,17870678750222126,9757509448,instagram,2021-02-11 03:36:18,2,Who the fuck are the people who support the old guy and why are they so annoying,Who the fuck are the people who support the old guy and why are they so annoying,"['fuck', 'people', 'support', 'old', 'guy', 'annoying']"
140,17888041123918858,1521621732,instagram,2021-02-11 03:31:14,8,I like your comics no matter what,I like your comics no matter what,"['like', 'comics', 'matter']"
141,18158413477107173,229692627,instagram,2021-02-11 03:08:55,8,"One guy, every time he opened his mouth sounded retarded, but his policies were very sensible. The new guy sounds very sensible when he talks, but all his policies so far are retarded.","One guy, every time he opened his mouth sounded retarded, but his policies were very sensible. The new guy sounds very sensible when he talks, but all his policies so far are retarded.","['one', 'guy', 'every', 'time', 'opened', 'mouth', 'sounded', 'retarded', 'policies', 'sensible', 'new', 'guy', 'sounds', 'sensible', 'talks', 'policies', 'far', 'retarded']"
142,17910759244622626,3016402652,instagram,2021-02-11 03:06:25,251,"ive come to a decision. in order to placate everyone, from now on each of my comics will be about everything, with all opinions expressed about all of it.","ive come to a decision. in order to placate everyone, from now on each of my comics will be about everything, with all opinions expressed about all of it.","['ive', 'come', 'decision', 'order', 'placate', 'everyone', 'comics', 'everything', 'opinions', 'expressed']"
143,17871926915255977,2051922252,instagram,2021-02-11 03:04:33,0,slave master A make me much happier than slave master B. at least that what the tv told me,slave master A make me much happier than slave master B. at least that what the tv told me,"['slave', 'master', 'make', 'much', 'happier', 'slave', 'master', 'least', 'tv', 'told']"
144,17992514473317654,3443350057,instagram,2021-02-11 02:59:30,5,"I definitely miss the last guy. White Obama is already mobilizing for new wars and he's trying to play off the prison camps he built as ""overflow areas"".","I definitely miss the last guy. White Obama is already mobilizing for new wars and he's trying to play off the prison camps he built as ""overflow areas"".","['definitely', 'miss', 'last', 'guy', 'white', 'obama', 'already', 'mobilizing', 'new', 'wars', 'trying', 'play', 'prison', 'camps', 'built', 'overflow', 'areas']"
145,17966350498374255,1549925884,instagram,2021-02-11 02:58:08,17,"Oh, a comic that can offend both sides. This is gonna be fun","Oh, a comic that can offend both sides. This is gonna be fun","['oh', 'comic', 'offend', 'sides', 'gon', 'na', 'fun']"
146,17860497578424227,4835703736,instagram,2021-02-11 02:57:30,16,Lol people in the comics fuckin pressed their wanna be dictator lost lmao,Lol people in the comics fuckin pressed their wanna be dictator lost lmao,"['lol', 'people', 'comics', 'fuckin', 'pressed', 'wan', 'na', 'dictator', 'lost', 'lmao']"
147,17914158739566579,263688846,instagram,2021-02-11 02:55:43,3,The news is hilarious. “Overflowing facilities” 😂 oh now it’s not kids in cages?! Amazing. How they scrub things. Not having as much fun but laughing still,The news is hilarious. “Overflowing facilities”  oh now it’s not kids in cages?! Amazing. How they scrub things. Not having as much fun but laughing still,"['news', 'hilarious', 'overflowing', 'facilities', 'oh', 'kids', 'cages', 'amazing', 'scrub', 'things', 'much', 'fun', 'laughing', 'still']"
148,17860203674457170,6340221831,instagram,2021-02-11 02:44:54,0,Agreed!! Love your work! ❤️,Agreed!! Love your work! ,"['agreed', 'love', 'work']"
